,produksi,luas,bibit,urea,NPK ,pupuk ,pupukO,pestisidaO ,pestisidaK,TKLK,TKDK,pengalaman ,edukasi ,jumlahTK,umur,jarak,pendapatanL,irigasi,pengairan,akses ,PKT,SKL
1,1.819,0.35,25,60,65,0,0,0,444.999,61,16,38,8,1,63,15,18000000,1,0,0,0,0
2,1.516,0.35,25,60,65,0,0,0,638.020,96,26,38,8,1,63,15,18000000,0,0,0,0,0
3,3.031,0.35,25,60,65,0,94.000,5,0,95,7,38,8,1,63,15,18000000,0,0,0,0,0
4,921,0.28,22,50,100,200.000,0,2,240.000,102,22,23,16,3,55,3,65405000,1,1,1,1,0
5,658,0.17,13,25,50,100.000,0,2,120.000,105,31,23,16,3,55,3,65405000,1,1,1,1,0
6,750,0.2,10,50,0,50.000,0,1,97.000,88,57,32,6,3,52,5,40800000,1,1,0,1,0
7,300,0.1,6,25,0,30.000,0,1,45.000,147,133,32,6,3,52,5,40800000,1,1,0,1,0
8,1.000,0.2,10,25,65,0,0,0,524.440,72,10,14,12,3,33,10,37500000,0,0,0,1,0
9,1.172,0.27,12,30,90,28.000,0,0,490.000,99,33,14,12,3,33,10,37500000,0,0,0,1,0
10,1.172,0.27,12,30,90,0,0,2,370.000,115,46,14,12,3,33,10,37500000,0,0,0,1,0
11,1.250,0.35,25,25,125,28.000,0,0,765.000,98,20,14,12,3,33,10,37500000,0,0,0,1,0
12,665,0.35,25,25,125,0,0,2,569.000,96,20,14,12,3,33,10,37500000,0,0,0,1,0
13,1.375,0.15,15,35,30,0,0,0,130.500,88,8,51,9,5,64,3,54000000,1,1,1,1,0
14,986,0.17,11,30,50,0,0,2,120.000,42,106,20,6,4,46,5,18600000,1,1,1,1,0
15,1.228,0.2,12,80,80,0,0,2,178.000,146,6,43,4,3,57,20,34960000,1,1,1,1,0
16,571,0.15,15,25,25,0,0,0,103.900,68,0,9,6,4,52,5,6850000,1,1,1,2,0
17,1.143,0.235,15,40,50,0,0,2,127.000,23,81,43,7,6,64,10,23970000,1,1,1,1,0
18,1.445,0.29,15,80,80,0,0,3,107.000,114,21,41,4,3,57,2,9600000,1,1,1,1,0
19,1.111,0.2,12,60,60,0,0,1,62.500,96,31,41,4,3,57,2,9600000,1,1,1,1,0
20,750,0.17,12,25,25,0,75.000,1,340.000,111,87,11,5,5,43,5,16800000,1,1,0,1,0
21,875,0.25,10,30,60,26.000,0,1,285.000,101,43,41,9,2,56,30,8400000,1,1,0,1,0
22,4.300,1,30,50,200,70.000,66.000,0,40.000,65,1,40,12,3,55,15,76274000,1,1,0,0,1
23,2.000,0.5,30,100,100,0,0,0,400.000,127,1,21,12,2,60,10,6120000,1,1,0,1,0
24,4.526,0.75,55,250,250,0,0,3,519.900,77,19,30,6,2,51,10,0.00001,1,1,0,1,0
25,1.516,0.25,13,60,60,0,35.000,0,271.000,5,141,18,6,2,41,10,6000000,1,1,0,1,0
26,1.100,0.2,8,40,50,0,47.000,2,105.000,69,4,3,9,5,39,5,48000000,0,0,0,1,0
27,2.000,0.35,30,100,150,182.500,0,1,279.875,63,7,14,12,4,47,10,43560000,1,1,0,0,0
28,1.250,0.26,15,30,30,0,300.000,0,244.000,33,62,28,2,3,54,7,6665000,1,1,1,1,0
29,520,0.26,15,30,30,0,330.000,0,236.000,33,65,28,2,3,54,7,6665000,1,1,1,1,0
30,1.000,0.2,12,20,30,30.000,120.000,0,154.000,31,54,28,2,3,54,10,6665000,0,0,1,1,0
31,745,0.2,12,20,30,30.000,150.000,1,164.000,45,65,28,2,3,54,10,6665000,0,0,1,1,0
32,700,0.134,10,20,15,65.800,0,1,73.400,64,82,22,9,3,52,10,2804000,1,1,0,1,0
